% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.104214	1	1	1	1.22479e-13	258.209	0
0.104214	1	2	2	3.22149e-13	679.15	0
0.104214	1	3	3	5.14388e-14	108.442	0
0.105214	1	1	1	1.22485e-13	258.221	0
0.105214	1	2	2	3.22132e-13	679.113	0
0.105214	1	3	3	5.14341e-14	108.433	0
0.106214	1	1	1	1.22491e-13	258.233	0
0.106214	1	2	2	3.22114e-13	679.077	0
0.106214	1	3	3	5.14295e-14	108.423	0
0.107214	1	1	1	1.22496e-13	258.245	0
0.107214	1	2	2	3.22097e-13	679.04	0
0.107214	1	3	3	5.14249e-14	108.413	0
0.108214	1	1	1	1.22502e-13	258.257	0
0.108214	1	2	2	3.2208e-13	679.004	0
0.108214	1	3	3	5.14202e-14	108.403	0
0.109214	1	1	1	1.22508e-13	258.269	0
0.109214	1	2	2	3.22062e-13	678.967	0
0.109214	1	3	3	5.14156e-14	108.394	0
0.110214	1	1	1	1.22513e-13	258.281	0
0.110214	1	2	2	3.22045e-13	678.931	0
0.110214	1	3	3	5.1411e-14	108.384	0
0.111214	1	1	1	1.22519e-13	258.292	0
0.111214	1	2	2	3.22028e-13	678.894	0
0.111214	1	3	3	5.14063e-14	108.374	0
0.112214	1	1	1	1.22525e-13	258.304	0
0.112214	1	2	2	3.22011e-13	678.858	0
0.112214	1	3	3	5.14017e-14	108.364	0
0.113214	1	1	1	1.2253e-13	258.316	0
0.113214	1	2	2	3.21993e-13	678.822	0
0.113214	1	3	3	5.1397e-14	108.354	0
0.114214	1	1	1	1.22536e-13	258.328	0
0.114214	1	2	2	3.21976e-13	678.785	0
0.114214	1	3	3	5.13924e-14	108.345	0
0.115214	1	1	1	1.22541e-13	258.34	0
0.115214	1	2	2	3.21959e-13	678.749	0
0.115214	1	3	3	5.13878e-14	108.335	0
0.116214	1	1	1	1.22547e-13	258.352	0
0.116214	1	2	2	3.21941e-13	678.712	0
0.116214	1	3	3	5.13831e-14	108.325	0
0.117214	1	1	1	1.22553e-13	258.364	0
0.117214	1	2	2	3.21924e-13	678.676	0
0.117214	1	3	3	5.13785e-14	108.315	0
0.118214	1	1	1	1.22558e-13	258.376	0
0.118214	1	2	2	3.21907e-13	678.639	0
0.118214	1	3	3	5.13739e-14	108.306	0
0.119214	1	1	1	1.22564e-13	258.388	0
0.119214	1	2	2	3.2189e-13	678.603	0
0.119214	1	3	3	5.13693e-14	108.296	0
0.120214	1	1	1	1.2257e-13	258.4	0
0.120214	1	2	2	3.21872e-13	678.566	0
0.120214	1	3	3	5.13646e-14	108.286	0
0.121214	1	1	1	1.22575e-13	258.412	0
0.121214	1	2	2	3.21855e-13	678.53	0
0.121214	1	3	3	5.136e-14	108.276	0
0.122214	1	1	1	1.22581e-13	258.424	0
0.122214	1	2	2	3.21838e-13	678.494	0
0.122214	1	3	3	5.13554e-14	108.267	0
0.123214	1	1	1	1.22587e-13	258.436	0
0.123214	1	2	2	3.2182e-13	678.457	0
0.123214	1	3	3	5.13507e-14	108.257	0
0.124214	1	1	1	1.22592e-13	258.448	0
0.124214	1	2	2	3.21803e-13	678.421	0
0.124214	1	3	3	5.13461e-14	108.247	0
0.125214	1	1	1	1.22598e-13	258.46	0
0.125214	1	2	2	3.21786e-13	678.384	0
0.125214	1	3	3	5.13415e-14	108.237	0
0.126214	1	1	1	1.22604e-13	258.471	0
0.126214	1	2	2	3.21769e-13	678.348	0
0.126214	1	3	3	5.13368e-14	108.228	0
