% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
6.363	1	3	3	5324.23	0
6.401	1	1	1	5324.96	0
6.402	1	2	2	5324.56	0
6.403	1	3	3	5324.23	0
6.441	1	1	1	5324.96	0
6.442	1	2	2	5324.55	0
6.443	1	3	3	5324.23	0
6.481	1	1	1	5324.96	0
6.482	1	2	2	5324.54	0
6.483	1	3	3	5324.23	0
6.521	1	1	1	5324.96	0
6.522	1	2	2	5324.53	0
6.523	1	3	3	5324.23	0
6.561	1	1	1	5324.96	0
6.562	1	2	2	5324.53	0
6.563	1	3	3	5324.23	0
6.601	1	1	1	5324.96	0
6.602	1	2	2	5324.52	0
6.603	1	3	3	5324.23	0
6.641	1	1	1	5324.96	0
6.642	1	2	2	5324.51	0
6.643	1	3	3	5324.23	0
6.681	1	1	1	5324.96	0
6.682	1	2	2	5324.5	0
6.683	1	3	3	5324.23	0
6.721	1	1	1	5324.96	0
6.722	1	2	2	5324.49	0
6.723	1	3	3	5324.23	0
6.761	1	1	1	5324.96	0
6.762	1	2	2	5324.48	0
6.763	1	3	3	5324.23	0
6.801	1	1	1	5324.96	0
6.802	1	2	2	5324.47	0
6.803	1	3	3	5324.23	0
6.841	1	1	1	5324.96	0
6.842	1	2	2	5324.46	0
6.843	1	3	3	5324.23	0
6.881	1	1	1	5324.96	0
6.882	1	2	2	5324.45	0
6.883	1	3	3	5324.23	0
6.921	1	1	1	5324.96	0
6.922	1	2	2	5324.44	0
6.923	1	3	3	5324.23	0
6.961	1	1	1	5324.96	0
6.962	1	2	2	5324.43	0
6.963	1	3	3	5324.23	0
7.001	1	1	1	5324.96	0
7.002	1	2	2	5324.43	0
7.003	1	3	3	5324.23	0
7.041	1	1	1	5324.96	0
7.042	1	2	2	5324.42	0
7.043	1	3	3	5324.23	0
7.081	1	1	1	5324.96	0
7.082	1	2	2	5324.41	0
7.083	1	3	3	5324.23	0
7.121	1	1	1	5324.96	0
7.122	1	2	2	5324.4	0
7.123	1	3	3	5324.23	0
7.161	1	1	1	5324.96	0
7.162	1	2	2	5324.39	0
7.163	1	3	3	5324.23	0
7.201	1	1	1	5324.96	0
7.202	1	2	2	5324.38	0
7.203	1	3	3	5324.23	0
7.241	1	1	1	5324.96	0
7.242	1	2	2	5324.37	0
7.243	1	3	3	5324.23	0
7.281	1	1	1	5324.96	0
7.282	1	2	2	5324.36	0
7.283	1	3	3	5324.23	0
7.321	1	1	1	5324.96	0
7.322	1	2	2	5324.35	0
7.323	1	3	3	5324.23	0
7.361	1	1	1	5324.96	0
7.362	1	2	2	5324.35	0
7.363	1	3	3	5324.23	0
7.401	1	1	1	5324.96	0
7.402	1	2	2	5324.34	0
7.403	1	3	3	5324.23	0
7.441	1	1	1	5324.96	0
7.442	1	2	2	5324.33	0
7.443	1	3	3	5324.23	0
7.481	1	1	1	5324.96	0
7.482	1	2	2	5324.32	0
7.483	1	3	3	5324.24	0
7.521	1	1	1	5324.96	0
7.522	1	2	2	5324.31	0
7.523	1	3	3	5324.24	0
7.561	1	1	1	5324.96	0
7.562	1	2	2	5324.3	0
7.563	1	3	3	5324.24	0
7.601	1	1	1	5324.96	0
7.602	1	2	2	5324.29	0
7.603	1	3	3	5324.24	0
7.641	1	1	1	5324.97	0
7.642	1	2	2	5324.28	0
7.643	1	3	3	5324.24	0
7.681	1	1	1	5324.97	0
7.682	1	2	2	5324.28	0
7.683	1	3	3	5324.24	0
7.721	1	1	1	5324.97	0
7.722	1	2	2	5324.27	0
7.723	1	3	3	5324.24	0
7.761	1	1	1	5324.97	0
7.762	1	2	2	5324.26	0
7.763	1	3	3	5324.24	0
7.801	1	1	1	5324.97	0
7.802	1	2	2	5324.25	0
7.803	1	3	3	5324.24	0
7.841	1	1	1	5324.97	0
7.842	1	2	2	5324.24	0
7.843	1	3	3	5324.24	0
